"Transcript","logFC","AveExpr","t","P.Value","adj.P.Val","B","signif"
"ENST00000371732",-3.05814274553924,3.50139081107323,-27.9820018466828,1.94655771526203e-09,3.59354019814523e-05,11.1051172584376,TRUE
"ENST00000397406",-2.18946043118521,4.10158584403547,-24.1432524099184,6.45167216841249e-09,5.95521599505314e-05,10.3663369404532,TRUE
"ENST00000319340",-1.62693112120159,4.44770502172366,-22.9461830624294,9.74100325540373e-09,5.99428870326694e-05,10.090270665553,TRUE
"ENST00000366903",2.03869497887421,3.00549120548158,21.6830490216176,1.54003638810954e-08,7.10765294022254e-05,9.77050782278651,TRUE
"ENST00000221418",-2.08070900357807,7.16613276790232,-19.4007120569568,3.77776322477429e-08,0.000139482573785116,9.10636940307165,TRUE
"ENST00000290705",-2.81765157082892,3.40374253038547,-17.6119418373939,8.21917974338602e-08,0.000252890462071082,8.49299283155407,TRUE
"ENST00000246070",-1.23684279156191,8.32955842802327,-17.0929932813146,1.04451444852606e-07,0.000272543334865916,8.29719625343204,TRUE
"ENST00000265643",-1.60677232977153,5.38166790842574,-16.4385180999027,1.42742125429454e-07,0.000272543334865916,8.03755622418211,TRUE
"ENST00000264187",-1.34126485399324,3.35770364435722,-16.3720613931044,1.4743826200718e-07,0.000272543334865916,8.01036230054163,TRUE
"ENST00000367027",-2.34085094433306,5.12526449171637,-16.3693715365977,1.47631945650786e-07,0.000272543334865916,8.00925831058132,TRUE
"ENST00000342456",-1.74699774278272,3.27763368941193,-15.8250727515923,1.9338017582848e-07,0.000315983460161072,7.7804462176302,TRUE
"ENST00000368171",1.44055876067122,5.14275862956634,15.7058836296648,2.05395239799191e-07,0.000315983460161072,7.72886614842829,TRUE
"ENST00000413699",-1.4217621251586,5.99285322875099,-15.5190602315543,2.25945008323762e-07,0.000320859292204998,7.64691539104709,TRUE
"ENST00000334350",-0.981453755641119,5.72506443422351,-15.348731296938,2.46700261308329e-07,0.000325309537429505,7.57100648327805,FALSE
"ENST00000230990",1.54399044025313,2.96187277844079,14.7788174473571,3.33295429921443e-07,0.000402307285838881,7.30843894401564,TRUE
"ENST00000285930",-0.933402481424688,6.52050936578953,-14.695083185419,3.48676484124484e-07,0.000402307285838881,7.26871204534313,FALSE
"ENST00000397760",1.10144711224837,4.28215315076073,14.4942370098714,3.88908717343332e-07,0.000422331990051486,7.1721814775593,TRUE
"ENST00000513349",-0.995510217573566,4.74905492581102,-14.2664695002786,4.40937036746396e-07,0.00043320995808377,7.06054859518255,FALSE
"ENST00000367309",1.07205809703567,5.4302626668201,14.2464964905986,4.45858252726918e-07,0.00043320995808377,7.05064783937661,TRUE
"ENST00000529244",-2.39583293215199,2.28810531462944,-13.9825051885186,5.17016912308604e-07,0.000467036679337942,6.91805919106551,TRUE
"ENST00000168216",1.06247427891245,6.59819480040345,13.9345188586053,5.31269718113687e-07,0.000467036679337942,6.89360881095903,TRUE
"ENST00000621465",-0.97079957081124,4.23412179250137,-13.5917831976074,6.46815783142708e-07,0.000542766644208978,6.71576524801304,FALSE
"ENST00000538442",1.19609228840739,3.14906089746657,13.4230391552312,7.13827516628894e-07,0.000572955208021131,6.62608784522982,TRUE
"ENST00000367029",-1.90948388693825,5.56962865641227,-13.346552787834,7.46728251909066e-07,0.000574389594103886,6.58496852859827,TRUE
"ENST00000316519",-1.14552288939764,3.82862530192349,-13.2356594247974,7.9747885468224e-07,0.000588890285451553,6.52482191446486,TRUE
"ENST00000534797",-2.26218249546022,2.99383250394782,-13.0060249475263,9.15290911008977e-07,0.000647028083187527,6.39824255223723,TRUE
"ENST00000444837",-2.15745249417937,6.97792334571855,-12.9510387145324,9.46306172258449e-07,0.000647028083187527,6.36751995751216,TRUE
"ENST00000396992",1.73044354475781,3.83162829604405,12.8357649201667,1.01520931445214e-06,0.000657619720464449,6.3025859539697,TRUE
"ENST00000274276",1.46837941593938,3.51881492712952,12.6364077466194,1.14799724843485e-06,0.000657619720464449,6.18857728216758,TRUE
"ENST00000368575",1.23115838235112,4.6871938324553,12.6340652438155,1.14966867112468e-06,0.000657619720464449,6.18722458949339,TRUE
"ENST00000409652",1.26751427347089,2.65139615423067,12.6321428932861,1.15104233608977e-06,0.000657619720464449,6.18611428775853,TRUE
"ENST00000374525",-0.903556390121865,3.68262128690347,-12.593271972975,1.17921539688207e-06,0.000657619720464449,6.16361912188068,FALSE
"ENST00000348165",-0.753655605137812,5.28612431605486,-12.4981251869142,1.25148121762613e-06,0.000657619720464449,6.10819802724075,FALSE
"ENST00000258787",0.733279782464247,6.17070977499344,12.4410989736074,1.29715596140918e-06,0.000657619720464449,6.07473556569553,FALSE
"ENST00000394053",-1.00032330869318,3.82815163908123,-12.4201762889751,1.3143779350736e-06,0.000657619720464449,6.06241177636421,TRUE
"ENST00000217182",-2.12620547771393,2.67514561259908,-12.3869532341539,1.34225144635074e-06,0.000657619720464449,6.042791284558,TRUE
"ENST00000261465",-2.47863358841169,3.8519058420314,-12.3660148848188,1.36015695340409e-06,0.000657619720464449,6.030393123217,TRUE
"ENST00000234347",-1.75993867297278,8.82931448289019,-12.3630747365842,1.36269250815298e-06,0.000657619720464449,6.02865015706556,TRUE
"ENST00000348354",1.2358114364636,4.84085597415588,12.2948537942024,1.42303256377738e-06,0.000657619720464449,5.98806711395134,TRUE
"ENST00000375326",-1.08507117768412,5.28039032998086,-12.2861694238664,1.43092539657222e-06,0.000657619720464449,5.98288157567539,TRUE
"ENST00000588282",-0.856588212359406,6.33432907353719,-12.2540910129792,1.46050639396795e-06,0.000657619720464449,5.96368900238379,FALSE
"ENST00000347703",-0.827910288718254,5.12911066700506,-12.1187343900837,1.59306727650858e-06,0.000685310478792247,5.88203798756338,FALSE
"ENST00000623860",-2.08618504327263,2.35162899819139,-12.1156418745769,1.5962488807793e-06,0.000685310478792247,5.8801597997564,TRUE
"ENST00000305264",-0.995212745086135,5.08432127826837,-12.0294119025723,1.68788248556859e-06,0.000708181785592766,5.82755885229548,FALSE
"ENST00000366977",-1.26863390847577,3.83656854952996,-11.9591740762076,1.76686876139739e-06,0.000714152594327385,5.78438186907515,TRUE
"ENST00000261381",1.28066536207356,2.58276403692116,11.9482826655489,1.77948211576078e-06,0.000714152594327385,5.77765980118984,TRUE
"ENST00000244204",1.51110815473148,4.12919316488619,11.8785064075316,1.86271345615984e-06,0.000722829764426448,5.73442248546289,TRUE
"ENST00000368594",1.09572621531525,3.21210378903463,11.864926217932,1.87941220369804e-06,0.000722829764426448,5.72597267180252,TRUE
"ENST00000310624",-0.892004440714932,4.20034178619071,-11.8248278937544,1.92970123285553e-06,0.000727024784892775,5.70095638841428,FALSE
"ENST00000309576",1.46437463657242,2.86801749207275,11.7681149249959,2.00340971344454e-06,0.00073189266211577,5.66540431124156,TRUE
"ENST00000406875",1.00720521946703,3.4971892699706,11.7542435762229,2.02191245154132e-06,0.00073189266211577,5.656678147062,TRUE
"ENST00000611040",-1.41172446223043,6.2756781352542,-11.6659800327668,2.14420734450011e-06,0.000748682717808031,5.60087037668692,TRUE
"ENST00000343677",1.99250121373408,3.49157972984595,11.6623532965642,2.14940599338203e-06,0.000748682717808031,5.59856672841209,TRUE
"ENST00000355285",-1.50759763149391,2.60217903388237,-11.5959491926894,2.2471201587982e-06,0.000768223800955067,5.55624006896262,TRUE
"ENST00000368305",-0.909419479853255,7.40805368572922,-11.5444451303745,2.32632371596162e-06,0.000780841129461228,5.52321682156464,FALSE
"ENST00000248598",2.10650355290126,2.50813708800502,11.5036355704667,2.39129408433821e-06,0.000788315715910138,5.49692941975957,TRUE
"ENST00000400566",1.52456821163861,2.90546511665235,11.4043067485894,2.55805280927205e-06,0.000828494963367917,5.43249512177488,TRUE
"ENST00000338087",0.863002714772349,3.47907878512433,11.3731276272368,2.61304173647427e-06,0.000831713163742269,5.41213621566571,FALSE
"ENST00000403359",-1.9537094141693,2.34572830338655,-11.3283076240313,2.69441192026775e-06,0.000843076923051915,5.3827579645651,TRUE
"ENST00000609514",-2.29788561327314,2.56189433495603,-11.2960356135113,2.7547507515846e-06,0.000847590893750054,5.36152213288172,TRUE
"ENST00000373873",-2.34194005407621,1.78116187667387,-11.2516197425452,2.84027311669143e-06,0.000859578393561319,5.3321818332311,TRUE
"ENST00000379811",-2.04459185324617,5.28356486163477,-11.2180510062719,2.90687418960681e-06,0.000865545232489216,5.30991928704773,TRUE
"ENST00000298049",-1.76350230956416,3.48500789187815,-11.1680504150558,3.00932807744583e-06,0.000881828660916309,5.27661850835772,TRUE
"ENST00000591743",0.743296613155307,5.25660498807865,11.1078725072624,3.1380106265451e-06,0.000903291691307353,5.23631475792759,FALSE
"ENST00000407004",-0.824924653716644,4.97252997226004,-11.0691335341918,3.22408956410663e-06,0.000903291691307353,5.21023877888659,FALSE
"ENST00000335793",1.01547393280807,2.94512241111099,11.0667983060492,3.22936198614838e-06,0.000903291691307353,5.2086636004302,TRUE
"ENST00000276431",1.11208649678154,4.57083005774441,11.0229546512669,3.33015682046269e-06,0.000917582463620325,5.17902008671857,TRUE
"ENST00000487273",0.972687823399744,4.64762416452328,10.9818488295634,3.42785097735987e-06,0.000930611130780007,5.15110696114898,FALSE
